City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Narva-Joesuu,EE,15.55,broken clouds,59.4589,28.0408,Narva-Jõesuu SPA & Sanatoorium
188,Solec Kujawski,PL,17.87,clear sky,53.0837,18.2257,MM-Rooms
201,Hasaki,JP,23.4,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
204,Kodiak,US,45.91,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
212,Roma,US,31.68,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
216,North Bend,US,37.85,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
221,La Rioja,ES,47.05,broken clouds,42.25,-2.5,Casa Concejos
232,Shingu,JP,43.92,clear sky,33.7333,135.9833,Shingu UI Hotel
249,Wajima,JP,34.81,light rain,37.4,136.9,Wajiima Onsen Yashio
264,Portland,US,33.39,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
267,Haines Junction,CA,15.75,overcast clouds,60.7522,-137.5108,Parkside Inn
286,Gravdal,NO,31.89,light snow,68.1214,13.5031,Skreda Rorbusuiter
288,Okany,HU,32.56,overcast clouds,46.9,21.35,Suszti Horgásztó-Kemping
289,Edinburg,GB,41.22,broken clouds,55.9521,-3.1965,"InterContinental Edinburgh the George, an IHG Hotel"
